player_name
DL Chahar
V Shankar
Rashid Khan
RD Chahar
LH Ferguson
C de Grandhomme
AF Milne
S Badree
Mohammad Nabi
AJ Tye
K Rabada
Kuldeep Yadav
Washington Sundar
DM Bravo
AR Bawne
SP Jackson
Ankit Soni
TA Boult
E Lewis
MA Wood
RK Singh
DJM Short
K Gowtham
TK Curran
M Markande
B Stanlake
Mujeeb Ur Rahman
A Dananjaya
Shubman Gill
Shivam Mavi
Mohammed Siraj
H Klaasen
RK Bhui
JC Archer
PP Shaw
LE Plunkett
Mustafizur Rahman
AD Hales
MK Lomror
DR Shorey
MM Ali
M Prasidh Krishna
P Chopra
JPR Scantlebury-Searles
Abhishek Sharma
IS Sodhi
SO Hetmyer
S Dube
Navdeep Saini
JM Bairstow
KMA Paul
Rasikh Salam
N Pooran
P Ray Barman
SM Curran
GC Viljoen
Avesh Khan
S Lamichhane
HF Gurney
SD Lad
AS Joseph
R Parag
MJ Santner
JL Denly
LS Livingstone
KK Ahmed
AJ Turner
Harpreet Brar
SE Rutherford
Y Prithvi Raj
P Simran Singh
JL Pattinson
A Nortje
T Banton
D Padikkal
YBK Jaiswal
RD Gaikwad
TU Deshpande
Abdul Samad
PK Garg
JR Philippe
Kartik Tyagi
KL Nagarkoti
CV Varun
I Udana
Ravi Bishnoi
Shahbaz Ahmed
AT Carey
N Jagadeesan
T Natarajan
P Dubey
SS Cottrell
Arshdeep Singh
DR Sams
M Jansen
RM Patidar
KA Jamieson
M Shahrukh Khan
JA Richardson
Lalit Yadav
Virat Singh
FA Allen
C Sakariya
DJ Malan
KS Bharat
PWH de Silva
VR Iyer
GD Phillips
GHS Garton
AK Markram
K Yadav
T Shamsi
NT Ellis
RV Patel
TL Seifert
Anmolpreet Singh
Anuj Rawat
TH David
DP Conway
Tilak Varma
R Powell
PBB Rajapaksa
RA Bawa
OF Smith
A Badoni
PVD Chameera
A Manohar
R Shepherd
DJ Willey
D Pretorius
JM Sharma
VG Arora
Mukesh Choudhary
Umran Malik
D Brevis
B Sai Sudharsan
Ramandeep Singh
HE van der Dussen
SS Prabhudessai
Akash Deep
JR Hazlewood
KR Sen
Aman Hakim Khan
HR Shokeen
Yash Dayal
DJ Mitchell
Shashank Singh
B Indrajith
Harshit Rana
Mohsin Khan
Simarjeet Singh
M Theekshana
AS Roy
Fazalhaq Farooqi
K Kartikeya
RP Meredith
KS Sharma
T Stubbs
R Sanjay Yadav
A Tomar
PN Mankad
OC McCoy
Sikandar Raza
Rahmanullah Gurbaz
KR Mayers
Mukesh Kumar
HC Brook
AU Rashid
C Green
N Wadhera
Arshad Khan
Abishek Porel
Dhruv Jurel
MG Bracewell
MW Short
Mohit Rathee
YV Dhull
Yudhvir Singh
Atharva Taide
Liton Das
PD Salt
Vijaykumar Vyshak
Abdul Basith
Arjun Tendulkar
JP Behrendorff
AJ Hosein
Naveen-ul-Haq
Noor Ahmad
JE Root
KM Asif
MD Shanaka
Sanvir Singh
Vivrant Sharma
DG Nalkande
R Ravindra
SD Hope
Sumit Kumar
Azmatullah Omarzai
Naman Dhir
G Coetzee
SZ Mulani
Sameer Rizvi
SH Johnson
Akash Madhwal
SB Dubey
Mayank Dagar
RJW Topley
A Raghuvanshi
Ashutosh Sharma
Nithish Kumar Reddy
Saurav Chauhan
Kumar Kushagra
BR Sharath
WG Jacks
J Fraser-McGurk
Tanush Kotian
KA Maharaj
Arshad Khan (2)
R Sai Kishore
L Wood
LB Williams
AA Kulkarni
MJ Suthar
RJ Gleeson
Gulbadin Naib
D Ferreira
A Kamboj
T Kohler-Cadmore
Shivam Singh
V Viyaskanth
P Amarnath
B Geeves
Gagandeep Singh
A Nel
AM Salvi
RR Bose
SS Sarkar
RA Shaikh
C Ganapathy
MB Parmar
AA Kazi
Anand Rajan
P Prasanth
SS Mundhe
RW Price
TP Sudhindra
BW Hilfenhaus
P Suyal
MG Neser
K Santokie
JW Hastings
GS Sandhu
SM Boland
Tejas Baroka
SS Agarwal
NB Singh
MJ Henry
K Khejroliya
L Ngidi
CJ Dala
SC Kuggeleijn
S Midhun
O Thomas
S Sandeep Warrier
CJ Green
Monu Kumar
LI Meriwala
Jalaj S Saxena
Akash Singh
IC Porel
PH Solanki
M Pathirana
J Little
RS Hangargekar
NA Saini
Yash Thakur
Suyash Sharma
SSB Magala
D Jansen
Gurnoor Brar
R Goyal
H Sharma
N Burger
KT Maphaka
M Siddharth
MP Yadav
S Joseph
N Thushara
V Kaverappa
